Unit,Temperature_C,Initial_Resistance_Ohm,h_452,h_1030,h_4341,h_8084
1,83,217.97,0.28,0.32,0.38,0.62
2,83,217.88,0.22,0.24,0.26,0.38
3,83,224.67,0.41,0.46,0.54,0.81
4,83,215.92,0.25,0.29,0.32,0.48
5,83,219.88,0.25,0.26,0.42,0.57
6,83,219.63,0.32,0.36,0.45,0.58
7,83,218.27,0.36,0.41,0.52,0.7
8,83,217.27,0.24,0.28,0.34,0.55
9,83,219.98,0.33,0.4,0.44,0.85
10,133,218.05,0.4,0.47,0.72,1.05
11,133,219.38,0.88,1.19,2.06,3.15
12,133,218.35,0.53,0.64,0.99,1.6
13,133,217.78,0.47,0.62,1,1.5
14,133,218.28,0.57,0.75,1.26,2.03
15,133,216.38,0.55,0.67,1.09,1.79
16,133,217.65,0.78,0.96,1.48,2.27
17,133,221.91,0.83,1.12,1.96,3.29
18,133,218.47,0.64,0.8,1.23,1.84
19,133,217.59,0.55,0.74,1.29,2.03
20,173,216.31,0.87,1.29,2.62,4.44
21,173,216.62,1.25,1.88,3.54,5.23
22,173,221.98,2.64,3.78,7.01,11.12
23,173,217.83,0.98,1.36,2.66,4.42
24,173,217.3,1.62,2.34,3.82,6.14
25,173,216.75,1.59,2.41,3.46,6.75
26,173,220.39,2.29,2.24,6.3,8.34
27,173,216.26,0.98,1.37,2.47,3.74
28,173,217.86,1.04,1.54,2.77,4.16
29,173,217.49,1.19,1.59,3.03,4.52
