AppliedWeight (g),Unit,200,500,1000,2000,5000,10000,20000,50000
10,1,3.2,4.1,4.5,4.7,5.8,6.8,7.7,9.6
10,2,2.7,3.4,3.8,3.9,5.4,5.7,6.3,8.4
10,3,2.1,2.7,3.1,3.3,4,4.6,5.7,6.6
10,4,2.6,3.5,4,4,5.2,6.1,6.7,8.5
50,5,7.5,8.3,9.5,11,14.6,16,16.9,19.8
50,6,7.5,8.1,9.8,10.9,14.8,16.1,17.3,20.2
50,7,7,8.9,9.4,11.1,12.4,14.1,16.7,18.3
50,8,7.8,8.9,10,11.5,13.7,16.2,16.2,21
100,9,12.5,15.4,17.2,19,22.5,25.4,29.4,35.9
100,10,11,13.9,16.1,18.6,22.2,26,29.1,34.5
100,11,13,15.1,18.6,20.2,23.9,29.7,31.5,39.6
100,12,11.7,13.7,16.7,17.5,22.3,25.3,32,38.2
