Measured,Actual,Detected
2.54,0.76,1
109.22,107.95,1
38.1+,57.15,1
81.28,80.01,1
5.08,0.76,1
25.4,107.95,1
5.08,3.18,1
---,0.76,0
101.6,101.6,1
99.06+,101.6,1
---,0.76,0
44.45,35.56,1
22.86+,35.56,1
5.08,0.76,1
6.35,6.35,1
---,6.35,0
25.4,25.4,1
76.2,76.2,1
12.7,1.52,1
---,0.76,0
12.7,12.7,1
---,0.76,0
82.55,80.01,1
76.2,76.2,1
---,0.76,0
12.7,3.18,1
76.2,76.2,1
12.7,6.35,1
101.6,101.6,1
127,127,1
---,0.76,0
38.1,35.56,1
76.2,76.2,1
---,1.52,0
6.35,6.35,1
3.18,0.76,1
---,3.18,0
76.2,76.2,1
6.35,3.18,1
---,0.76,0
88.9,107.95,1
3.18,0.76,1
12.7,6.35,1
10.16+,0.76,1
53.98+,80.01,1
6.35,0.76,1
---,0.76,0
9.53,3.18,1
48.26+,76.2,1
---,0.76,0
101.6+,76.2,1
29.21+,80.01,1
---,0.76,0
83.90+,80.01,1
73.66,71.12,1
27.94,25.4,1
50.8+,71.12,1
7.62,57.15,1
76.2+,76.2,1
12.7,57.15,1
107.95,107.95,1
58.67,71.12,1
76.2,76.2,1
104.14,101.6,1
44.45+,57.15,1
60.45,71.12,1
35.56,35.56,1
91.69,107.95,1
3.81,0.76,1
10.16,6.35,1
69.85,71.12,1
28.7,35.56,1
101.6,101.6,1
6.35,0.76,1
7.62,3.18,1
38.1,35.56,1
25.4,35.56,1
69.85,71.12,1
6.35,6.35,1
12.7,3.18,1
60.33+,76.2,1
5.08,1.52,1
69.85,71.12,1
69.85,71.12,1
---,0.76,0
76.2,76.2,1
3.18,0.76,1
---,0.76,0
71.12,71.12,1
25.4,35.56,1
7.62,6.35,1
6.35,0.76,1
6.35,3.18,1
5.08,0.76,1
25.4,35.56,1
69.85,71.12,1
3.18,1.52,1
6.35,3.18,1
76.2,76.2,1
5.08,3.18,1
71.12,71.12,1
76.2,71.12,1
3.18,0.76,1
50.8,76.2,1
3.18,0.76,1
7.62,6.35,1
69.85,71.12,1
25.4,35.56,1
---,0.76,0
---,0.76,0
6.35,3.18,1
12.7,6.35,1
27.94,35.56,1
76.2,71.12,1
76.2,76.2,1
5.08,3.18,1
76.2,76.2,1
92.2+,80.01,1
69.85,71.12,1
